node_1,node_2,edge
Chord length,Airfoil shape,"Airfoils have a defined chord length, in this case, 24 inches."
Airfoil performance,Drag coefficient,Drag coefficient is another crucial factor in evaluating airfoil performance
Airfoil performance,Thickness distribution,"The thickness distribution of an airfoil, such as NACA RM No. L7I22, affects its aerodynamic performance."
Airfoil performance,Lift,Lift is a key parameter in assessing the aerodynamic performance of an airfoil
Airfoil performance,Camber,"Camber affects the airfoil performance, specifically lift and drag"
Airfoil performance,Airfoil shape,"The given data points of stations and ordinates define the airfoil's shape, which affects its aerodynamic performance such as lift and drag."
Roughness,Maximum lift coefficient,"Standard roughness causes decrements in the maximum lift coefficient of airfoils with split flaps, similar to those observed for plain airfoils"
Roughness,Performance,"Surface roughness affects the aerodynamic performance of the airfoil, mainly increasing drag."
Roughness,Drag,The roughness of an airfoil's surface affects its drag coefficient (Cd).
Roughness,Airfoil section,"An airfoil section can have roughness, which is simulated here as standard roughness."
Upper Surface,RRIFOIL,Upper Surface is a part of RRIFOIL.
Upper Surface,X/C,The upper surface of an airfoil is defined by points at different x/c locations
Upper Surface,Cp,Pressure coefficient (Cp) varies along the upper surface of an airfoil
Upper Surface,NACA 0012,NACA 0012 has ordinates given for the Upper Surface at different stations in percent of airfoil chord.
Upper Surface,Basic Thickness Form,The Basic Thickness Form includes the Upper Surface with a value of c = .41.
airfoil section,thickness,The thickness of an airfoil section refers to the maximum distance between its upper and lower surfaces.
airfoil section,NACA TN 2998,NACA TN 2998 is a type of airfoil section.
airfoil section,lift coefficient,An airfoil section's lift coefficient varies with its Mach number.
airfoil section,drag coefficient,The drag coefficient (cd) depends on the airfoil shape and Re number
airfoil section,camber,"An airfoil section has camber, which is a measure of its curvature."
airfoil section,drag,Airfoil sections have associated drag coefficients that quantify their aerodynamic resistance.
BASIC THICKNESS FORM,NACA 0012,NACA 0012 is a type of BASIC THICKNESS FORM.
NACA TN 2998,Airfoil section,NACA TN 2998 is a specific type of airfoil section
NACA TN 2998,Camber line,"NACA TN 2998 has a specific camber line shape, defined by the given points"
NACA TN 2998,Mach number,NACA TN 2998 has varying performance across different Mach numbers (0.30 to 0.75).
NACA TN 2998,lift coefficient,NACA TN 2998 has a section lift coefficient that varies with Mach number.
NACA TN 2998,drag coefficient,NACA TN 2998 has a section drag coefficient that varies with Mach number and lift coefficient.
Camber line,Airfoil section,An airfoil section has a camber line which affects its aerodynamic performance.
Camber line,Airfoil shape,The camber line defines the shape of the airfoil and affects its aerodynamic performance.
Camber line,L.E. radius,The camber line has a constant slope through the leading edge (L.E.) with a specified L.E. radius.
Camber line,NACA 2412,NACA 2412 has a specific camber line shape.
Camber line,Camber,"The camber line of an airfoil, like the NACA 4424, determines the camber (the amount of curvature) of the airfoil."
Cp,RRIFOIL,"Cp is the pressure coefficient, a key parameter in airfoil design and analysis, used for RRIFOIL."
Cp,Pressure Distribution,Pressure coefficient (Cp) represents the pressure distribution along an airfoil's surface
Cp,X/C,X/C coordinates are related to pressure coefficient Cp
NACA 6-series airfoils,Mean line,"When not specified, it's understood that the uniform-load mean line (a = 1.0) has been used."
NACA 6-series airfoils,Camber,Minimum section drag coefficient varies with camber for NACA 6-series airfoils
Basic Thickness Form,"NACA 66,2-018","NACA 66,2-018 is a Basic Thickness Form."
Upper surface,NACA 2412,The NACA 2412 has an upper surface
Aerodynamic characteristics,NACA airfoils,Recent information on the aerodynamic characteristics of NACA airfoils is presented.
Aerodynamic characteristics,Thickness ratio,The investigation also provided information on the changes in aerodynamic characteristics resulting from variations of thickness ratio
Aerodynamic characteristics,Airfoil section,Different airfoil sections have different aerodynamic characteristics.
Aerodynamic characteristics,Angle of attack,The angle of attack (alpha) is a key parameter in the aerodynamic characteristics of an airfoil.
Airfoil Shape,Manufacturability,Certain airfoil shapes may be more challenging to manufacture due to their thickness and curvature.
Airfoil Shape,Camber,The camber of the airfoil affects its shape and aerodynamic performance.
Airfoil Shape,Lift,The shape of the airfoil influences its lift coefficient and overall lifting performance.
Airfoil Shape,Thickness,The thickness distribution along the chord line contributes to the airfoil's shape.
Airfoil Shape,Pressure Distribution,The airfoil shape affects the pressure distribution across it.
Airfoil Shape,Angle of Attack,The angle of attack significantly affects the pressure distribution across the airfoil.
"NACA 66,2-018",Camber Line,"The camber line of NACA 66,2-018 is located at y/c = -0.03 (upper surface) and y/c = 0.03 (lower surface)."
"NACA 66,2-018",Lift,"The lift coefficient (Cl) of NACA 66,2-018 varies with angle of attack and reaches a maximum value at about Cl_max = 1.789 at alpha = 0 degrees."
"NACA 66,2-018",Drag,"The drag coefficient (Cd) of NACA 66,2-018 varies with angle of attack and reaches a minimum value at about Cd_min = 0.052 at alpha = 85 degrees."
camber location,NACA,"In NACA airfoils, the camber line is specified as a function of chord length, defining its position relative to the leading edge."
camber location,camber,Camber's position along the chord line is represented by its camber location.
camber location,lift coefficient,The location of camber affects the lift coefficient of an airfoil
Drag divergence Mach number,Thickness,Increasing thickness results in a higher drag divergence Mach number
Drag divergence Mach number,Drag,An increase in magnitude resulted in a decrease in drag divergence Mach number
Drag divergence Mach number,Camber,Addition caused a decrease in drag divergence Mach number
Airfoil Lower Surface,Pressure Distribution,"Similar to the upper surface, the airfoil lower surface also has a pressure distribution that varies with chord length (X/C)."
Airfoil Lower Surface,X/C,The Airfoil Lower Surface is defined by X/C values.
thickness,drag,The thickness ratio of an airfoil influences its drag coefficient. A lower thickness ratio typically results in lower form drag but may increase skin friction drag.
thickness,airfoil,"Airfoils have thickness, which is the distance between the upper and lower surface at any given chord location."
thickness,drag coefficient,Airfoil thickness impacts the drag coefficient.
thickness,camber,Camber and thickness are added and subtracted to define the airfoil shape.
thickness,airfoil shape,Thickness is another crucial parameter that determines the airfoil shape.
thickness,NACA 0012,The thickness of NACA 0012 follows a different formula compared to NACA 0010.
airfoil shape,camber,Camber is a key parameter that defines the airfoil shape.
Angle of attack,Drag,A higher angle of attack increases induced drag due to bound vortex at three-quarter chord
Angle of attack,Lift,The angle of attack affects the lift coefficient (Cz) of an airfoil.
Angle of attack,NACA 0012,"The angle of attack for the infinite aspect ratio of NACA 0012 is provided in degrees: 0.2, 0.4, ..., 1.6."
Camber Line,Camber,The camber line represents the camber of an airfoil.
Manufacturability,Thickness,"The thickness of an airfoil impacts its manufacturability, with thicker airfoils being harder to manufacture."
Manufacturability,Airfoil shape,"The manufacturability of an airfoil is influenced by its shape, with simpler shapes generally being easier to manufacture."
Manufacturability,Thickness distribution,The thickness distribution of an airfoil affects its manufacturability
Manufacturability,Airfoil Thickness,Thicker airfoils are easier to manufacture but may have higher drag.
Manufacturability,L.E. radius,The leading edge (L.E.) radius affects the manufacturability of an airfoil
Manufacturability,Thickness ratio,The thickness ratio impacts the manufacturability of an airfoil
Angle of Attack,Lift Coefficient,Changes in the angle of attack (α) result in corresponding changes in the lift coefficient (C_z).
Angle of Attack,Pressure Distribution,"Figure 5 Ca, b, c present plots of P against orifice position along the chord and against position perpendicular to the chord for each angle of attack"
Angle of Attack,Lift,Theoretical pressure distribution in potential flow creates some lift when there is an angle of attack.
Angle of Attack,Performance,"The angle of attack significantly affects the aerodynamic performance of an airfoil, particularly its lift and drag coefficients."
NACA airfoils,Airfoil section,NACA airfoils are a type of airfoil section
NACA airfoils,camber,"NACA airfoils have varying camber, influencing performance."
L.E. radius,Thickness,Airfoil thickness can be represented by the leading edge (L.E.) radius
L.E. radius,Camber,Camber is influenced by the Leading Edge (L.E.) radius
X/C,RRIFOIL,X/C is a parameter used to describe the shape of RRIFOIL along its chord.
X/C,Camber,The camber line location (X/C) determines the airfoil's pressure distribution and lift.
X/C,Pressure Distribution,"X/C, the ratio of the distance from the leading edge to the chord length, influences the pressure distribution along the airfoil's surface."
X/C,Thickness distribution,X/C values are used to define the thickness distribution of NACA RM No. L7I22.
Airfoil shape,Thickness distribution,The thickness distribution contributes to the overall shape of an airfoil.
Airfoil shape,NACA ACR No. L5C05,This term represents a specific airfoil design.
Airfoil shape,Camber,"The airfoil shape has camber, which is a curved surface."
Airfoil shape,Lift,The lift generated by an airfoil is primarily influenced by its shape.
Airfoil shape,Thickness,"The airfoil shape has thickness, which varies along its span."
Airfoil shape,Aerodynamic performance,"The shape of an airfoil influences its aerodynamic performance, such as lift and drag."
Airfoil shape,Drag,The shape of an airfoil influences its drag
RRIFOIL,Camber,"The camber line is a key parameter in RRIFOIL's shape description, influencing its aerodynamic performance."
RRIFOIL,Thickness,"Airfoil thickness is an important design parameter for RRIFOIL, affecting manufacturability and performance."
RRIFOIL,Lift,The lift generated by RRIFOIL is a key aerodynamic performance metric.
RRIFOIL,Drag,The drag experienced by RRIFOIL is another important aerodynamic performance metric.
Thickness ratio,Drag coefficient,Increase in thickness ratio leads to increase in drag coefficient for smooth airfoils
Thickness ratio,Maximum lift coefficient,"The variation of maximum lift coefficient with thickness shows that for a given thickness ratio greater than 15 percent, the values are substantial for the four- and five-digit series airfoils."
Thickness ratio,Airfoil section,A thickness ratio is a characteristic of an airfoil section
airfoil,NACA,NACA is a series of airfoils.
airfoil,camber,"Airfoils have camber, which is the difference between the upper and lower surface chord lines."
airfoil,lift coefficient,Airfoils generate lift at various coefficients
airfoil,drag,Airfoils experience drag forces during operation
airfoil,Reynolds number,Reynolds number discrepancy between values obtained in two tunnels may have been caused by turbulence affects not fully accounted for on this airfoil
airfoil,drag coefficient,The drag coefficient is a key parameter used to describe the aerodynamic performance of an airfoil.
lift coefficient,drag coefficient,The lift coefficient was determined at a drag coefficient of 0.02 for many NACA airfoil sections.
lift coefficient,camber,"The camber of an airfoil affects its lift coefficient. As the camber increases, the lift coefficient also tends to increase until stall occurs."
lift coefficient,Reynolds number,The increasing values of the lift coefficient reduce as the Reynolds number increases in the positive axis of the angle of attack. There is no or little addition to the lift as the Reynolds number increases beyond 10.0 x 10^6.
Performance,Lift Coefficient,The lift coefficient is an important measure of an airfoil's performance in generating lift.
Performance,Thickness,The thickness ratio affects the maximum section lift coefficient and the aerodynamic performance of the airfoil.
Performance,Camber,"The camber of an airfoil influences its lift, drag, and moment coefficients."
NACA 23012,Drag,NACA 23012 has a drag of 9-34
NACA 23012,Maximum lift coefficient,The maximum lift coefficient for NACA 23012 is given.
NACA,Camber,NACA notation includes camber as one of its parameters
NACA,Thickness,NACA notation includes thickness as one of its parameters
Drag coefficient,Camber,Camber generally reduces drag coefficient at higher lift coefficients.
Drag coefficient,Reynolds number,The drag coefficient generally decreases with increasing Reynolds number
Maximum lift coefficient,Camber,Increasing camber increases the maximum lift coefficient.
Maximum lift coefficient,NACA ACR No. L5C05,The maximum lift coefficient of NACA ACR No. L5C05 airfoil is consistently higher than other comparable airfoils
Maximum lift coefficient,NACA 0012,Moving the position of maximum thickness from 30% to 45% chord reduces the maximum lift coefficient by about 15%.
Maximum lift coefficient,Thickness,Reducing thickness near the leading edge decreases the maximum lift coefficient.
Airfoil section,NACA ACR No. L5C05,The NACA ACR No. L5C05 is an example of an airfoil section.
Airfoil section,Thickness distribution,An airfoil section has a thickness distribution that affects its manufacturability.
Airfoil section,Thickness,"An airfoil section has thickness, which is the maximum distance between its upper and lower surfaces"
Airfoil section,NACA 2412,NACA 2412 is a type of airfoil section.
Airfoil section,Camber,"An airfoil section has camber, which is a measure of its curvature."
camber,NACA 0012,NACA 0012 also follows the same camber line definition.
camber,Mean line,Mean line represents the camber of an airfoil.
Thickness distribution,Camber,Different NACA airfoils have varying degrees of camber and thickness distribution.
Thickness distribution,NACA 2412,NACA 2412 has a specific thickness distribution.
Pressure distribution,Camber,The camber (the difference between the upper and lower surface at the mid-chord) influences the pressure distribution along an airfoil's chord. A higher camber leads to a more significant pressure variation.
Pressure distribution,Thickness,"The thickness of an airfoil affects its pressure distribution, with thicker airfoils generally having lower pressures on the upper surface and higher pressures on the lower surface compared to thinner ones."
Pressure distribution,Lift,The data corresponding to lift is influenced by the pressure distribution across the airfoil.
Reynolds number,Drag,"The drag coefficient of an airfoil can vary significantly with changes in Reynolds number, as seen in supercritical and subcritical speeds."
Reynolds number,Mach number,The Reynolds number variation with Mach number is shown in figure 2
Reynolds number,NACA 0012,The Reynolds number used in testing is given as Re = 3.0 x 10^6.
Reynolds number,Aerodynamic performance,The Reynolds number significantly influences the aerodynamic performance of an airfoil
Reynolds number,drag,"The drag coefficient of an airfoil can vary with the Reynolds number. For the NACA 64-009 airfoil, the drag decreases as the Reynolds number increases."
Camber,Lift,The camber of an airfoil affects its lift performance. Increased camber can increase lift but also increase drag.
Camber,Mean line,The mean line is used to obtain the desired camber for an airfoil section.
Camber,NACA 0012,"The NACA 0012 airfoil has zero camber, as indicated by its name."
Camber,Lift Coefficient,An increase in camber can lead to an increase in lift coefficient for an airfoil.
Camber,drag,Camber also influences drag of an airfoil.
Camber,Aerodynamic performance,The camber of an airfoil affects its aerodynamic performance by influencing lift and drag coefficients
Camber,Thickness,"The camber and thickness of the airfoil are inversely related, as shown by the negative ordinates for lower surface compared to upper surface."
Camber,Drag,The camber influences the drag coefficient (C_d) of the airfoil.
Thickness,Drag,"The thickness of an airfoil affects its drag performance. Generally, increased thickness increases drag."
Thickness,drag,Increased thickness increases drag coefficient.
Lift,Aerodynamic performance,"Lift is a critical component of aerodynamic performance, generated by the airfoil's shape and angle of attack."
Lift,Drag,Airfoil performance is characterized by lift and drag coefficients
Airfoil Thickness,Drag,Thicker airfoils typically have higher drag coefficients due to increased skin friction.
Drag,Aerodynamic performance,"Drag is another crucial aspect of aerodynamic performance, influenced by airfoil shape, thickness, and surface roughness."
